A79849
A79851
A79863
A99244
AB000604	BAA75824	gb|AB000604:4-1128	BAA75825	(gb|AB000604:4-731, 960)	BAA75826	gb|AB000604:709-1128
AB000605	BAA75827	gb|AB000605:4-1128	BAA75828	(gb|AB000605:4-731, 960)	BAA75829	gb|AB000605:709-1128
AB000606	BAA75830	gb|AB000606:4-1128	BAA75831	(gb|AB000606:4-731, 960)	BAA75832	gb|AB000606:709-1128
AB000607	BAA75833	gb|AB000607:4-1128	BAA75834	(gb|AB000607:4-731, 960)	BAA75835	gb|AB000607:709-1128
AB000608	BAA75836	gb|AB000608:4-1128	BAA75837	(gb|AB000608:4-731, 960)	BAA75838	gb|AB000608:709-1128
AB000609	BAA75839	gb|AB000609:4-1128	BAA75840	(gb|AB000609:4-731, 960)	BAA75841	gb|AB000609:709-1128
AB000610	BAA75842	gb|AB000610:4-1128	BAA75843	(gb|AB000610:4-731, 960)	BAA75844	gb|AB000610:709-1128
AB000611	BAA75845	gb|AB000611:4-1128	BAA75846	(gb|AB000611:4-731, 960)	BAA75847	gb|AB000611:709-1128
AB000612	BAA75848	gb|AB000612:5-1129	BAA75849	(gb|AB000612:5-732, 961)	BAA75850	gb|AB000612:710-1129
AB000613	BAA75851	gb|AB000613:4-1128	BAA75852	(gb|AB000613:4-731, 960)	BAA75853	gb|AB000613:709-1128
AB000614	BAA75854	gb|AB000614:4-1128	BAA75855	(gb|AB000614:4-731, 960)	BAA75856	gb|AB000614:709-1128
AB000720	BAA75857	gb|AB000720:4-1128	BAA75858	(gb|AB000720:4-731, 960)	BAA75859	gb|AB000720:709-1128
AB000721	BAA75860	gb|AB000721:5-1129	BAA75861	(gb|AB000721:5-732, 961)	BAA75862	gb|AB000721:710-1129
AB000722	BAA75863	gb|AB000722:4-1128	BAA75864	(gb|AB000722:4-731, 960)	BAA75865	gb|AB000722:709-1128
AB000723	BAA75866	gb|AB000723:4-1128	BAA75867	(gb|AB000723:4-731, 960)	BAA75868	gb|AB000723:709-1128
AB000724	BAA75869	gb|AB000724:4-1128	BAA75870	(gb|AB000724:4-731, 960)	BAA75871	gb|AB000724:709-1128
AB000725	BAA75872	gb|AB000725:4-1128	BAA75873	(gb|AB000725:4-731, 960)	BAA75874	gb|AB000725:709-1128
AB000726	BAA75875	gb|AB000726:5-1129	BAA75876	(gb|AB000726:5-732, 961)	BAA75877	gb|AB000726:710-1129
AB000727	BAA75878	gb|AB000727:5-1129	BAA75879	(gb|AB000727:5-732, 961)	BAA75880	gb|AB000727:710-1129
AB000728	BAA75881	gb|AB000728:4-1128	BAA75882	(gb|AB000728:4-731, 960)	BAA75883	gb|AB000728:709-1128
AB002469	BAA19602	(gb|AB002469:23-209, 523-884)	BAA19603	gb|AB002469:23-763
AB013806	BAA77284	gb|AB013806:<1->710
AB029619	BAA82495	gb|AB029619:<1->1061
AB029620	BAA82496	gb|AB029620:<1->1054
AB029621	BAA82497	gb|AB029621:<1->1078
AB029622	BAA82498	gb|AB029622:<1->1076
AB029623	BAA82499	gb|AB029623:<1->1061
AB029624	BAA82500	gb|AB029624:<1->1076
AB029625	BAA82501	gb|AB029625:<1->1076
AB029626	BAA82502	gb|AB029626:<1->1049
AB029627	BAA82503	gb|AB029627:<1->1069
AB029628	BAA82504	gb|AB029628:<1->1078
AB029629	BAA82505	gb|AB029629:<1->1069
AB029630	BAA82506	gb|AB029630:<1->1051
AB029631	BAA82507	gb|AB029631:<1->1078
AB029632	BAA82508	gb|AB029632:<1->1076
AB033826	BAA85853	gb|AB033826:<1->1060
AB034155	BAB12048	(gb|AB034155:4-190, 504-865)	BAB12049	gb|AB034155:4-744
AB034156	BAB12050	(gb|AB034156:4-190, 504-865)	BAB12051	gb|AB034156:4-744
AB034157	BAB12052	(gb|AB034157:4-190, 504-865)	BAB12053	gb|AB034157:4-744
AB034158	BAB12054	(gb|AB034158:4-190, 504-865)	BAB12055	gb|AB034158:4-744
AB034159	BAB12056	(gb|AB034159:4-190, 504-865)	BAB12057	gb|AB034159:4-744
AB034160	BAB12058	(gb|AB034160:4-190, 504-865)	BAB12059	gb|AB034160:4-744
AB034161	BAB12060	(gb|AB034161:4-190, 504-865)	BAB12061	gb|AB034161:4-744
AB034162	BAB12062	(gb|AB034162:4-190, 504-865)	BAB12063	gb|AB034162:4-744
AB034163	BAB12064	(gb|AB034163:4-190, 504-865)	BAB12065	gb|AB034163:4-744
AB034164	BAB12066	(gb|AB034164:4-190, 504-865)	BAB12067	gb|AB034164:4-744
AB034165	BAB12068	(gb|AB034165:4-190, 504-865)	BAB12069	gb|AB034165:4-744
AB034166	BAB12070	(gb|AB034166:4-190, 504-865)	BAB12071	gb|AB034166:4-744
AB034167	BAB12072	(gb|AB034167:4-190, 504-865)	BAB12073	gb|AB034167:4-744
AB034168	BAB12074	(gb|AB034168:4-190, 504-865)	BAB12075	gb|AB034168:4-744
AB034169	BAB12076	(gb|AB034169:4-190, 504-865)	BAB12077	gb|AB034169:4-744
AB034170	BAB12078	(gb|AB034170:4-190, 504-865)	BAB12079	gb|AB034170:4-744
AB034171	BAB12080	(gb|AB034171:4-190, 504-865)	BAB12081	gb|AB034171:4-744
AB034172	BAB12082	(gb|AB034172:4-190, 504-865)	BAB12083	gb|AB034172:4-744
AB034173	BAB12084	(gb|AB034173:4-190, 504-865)	BAB12085	gb|AB034173:4-744
AB034174	BAB12086	(gb|AB034174:4-190, 504-865)	BAB12087	gb|AB034174:4-744
AB034175	BAB12088	(gb|AB034175:4-190, 504-865)	BAB12089	gb|AB034175:4-744
AB034176	BAB12090	(gb|AB034176:4-190, 504-865)	BAB12091	gb|AB034176:4-744
AB034177	BAB12092	(gb|AB034177:5-191, 505-866)	BAB12093	gb|AB034177:5-745
AB034178	BAB12094	(gb|AB034178:4-190, 504-865)	BAB12095	gb|AB034178:4-744
AB034179	BAB12096	(gb|AB034179:4-190, 504-865)	BAB12097	gb|AB034179:4-744
AB034180	BAB12098	(gb|AB034180:4-190, 504-865)	BAB12099	gb|AB034180:4-744
AB034181	BAB12100	(gb|AB034181:4-190, 504-865)	BAB12101	gb|AB034181:4-744
AB035357	BAA97995	gb|AB035357:<1-1938
AB035358	BAA97996	gb|AB035358:<1-1938
AB035359	BAA97997	gb|AB035359:<13-1938
AB035360	BAA97998	gb|AB035360:<1-1951
AB035361	BAA97999	gb|AB035361:<1-1951
AB035362	BAA98000	gb|AB035362:<1-1938
AB035363	BAA98001	gb|AB035363:<1-1939
AB035364	BAA98002	gb|AB035364:<1-1953
AB035365	BAA98003	gb|AB035365:<1-1947
AB035366	BAA98004	(gb|AB035366:4-190, 504-865)	BAA98005	gb|AB035366:4-744
AB035367	BAA98006	(gb|AB035367:4-190, 504-865)	BAA98007	gb|AB035367:4-744
AB035368	BAA98008	gb|AB035368:<1->469
AB035369	BAA98009	gb|AB035369:<1->469
AB035370	BAA98010	gb|AB035370:<1->372
AB035371	BAA98011	gb|AB035371:<1->372
AB035372	BAA98012	gb|AB035372:3->728	BAA98013	gb|AB035372:708->1124
AB035373	BAA98014	gb|AB035373:3->728	BAA98015	gb|AB035373:708->1124
AB035374	BAA98016	gb|AB035374:<1->376
AB035375	BAA98017	gb|AB035375:<1->376
AB035376	BAA98018	gb|AB035376:<1->600
AB035377	BAA98019	gb|AB035377:<1->600
AB036067	BAB19808	gb|AB036067:<1->127
AB036068	BAB19809	gb|AB036068:<1->127
AB036446	BAA89279	gb|AB036446:<1->1005
AB036447	BAA89280	gb|AB036447:<1->993
AB036448	BAA89281	gb|AB036448:<1->1005
AB036449	BAA89282	gb|AB036449:<1->1005
AB036450	BAA89283	gb|AB036450:<1->1044
AB036451	BAA89284	gb|AB036451:<1->1044
AB036452	BAA89285	gb|AB036452:<1->1047
AB036453	BAA89286	gb|AB036453:<1->1008
AB036777	BAA99396	(gb|AB036777:27-56, 529-864)	BAA99397	gb|AB036777:27-719
AB036778	BAA99398	(gb|AB036778:26-51, 740-1007)	BAA99399	gb|AB036778:26-784
AB036779	BAA99400	gb|AB036779:46-1542
AB036780	BAA99401	gb|AB036780:25-2175
AB036781	BAA99402	gb|AB036781:25-2298
AB036782	BAA99403	gb|AB036782:28-2307
AB036859	BAB32590	gb|AB036859:<1->1038
AB036860	BAB32591	(gb|AB036860:1-33, 689-1024)	BAB32592	gb|AB036860:1-846
AB036861	BAB32593	(gb|AB036861:1-33, 689-1024)	BAB32594	gb|AB036861:1-846
AB036862	BAB32595	(gb|AB036862:1-33, 689-1024)	BAB32596	gb|AB036862:1-846
AB036863	BAB32597	gb|AB036863:<1->1038
AB036864	BAB32598	gb|AB036864:<1->1038
AB036865	BAB32599	gb|AB036865:<1->1041
AB036866	BAB32600	gb|AB036866:1-303	BAB32601	gb|AB036866:8-1408
AB036867	BAB32602	gb|AB036867:1-303	BAB32603	gb|AB036867:8-1408
AB036868	BAB32604	gb|AB036868:1-303	BAB32605	gb|AB036868:8-1408
AB036869	BAB32606	gb|AB036869:1-303	BAB32607	gb|AB036869:8-1408
AB036870	BAB32608	gb|AB036870:1-303	BAB32609	gb|AB036870:8-1408
AB036871	BAB32610	gb|AB036871:1-303	BAB32611	gb|AB036871:8-1408
AB036872	BAB32612	gb|AB036872:1-303	BAB32613	gb|AB036872:8-1408
AB036873	BAB32614	gb|AB036873:1-303	BAB32615	gb|AB036873:8-1408
AB036874	BAB32616	gb|AB036874:1-1683
AB036875	BAB32617	gb|AB036875:1-1683
AB036876	BAB32618	gb|AB036876:1-1683
AB036877	BAB32619	gb|AB036877:1-747	BAB32620	gb|AB036877:747-1076
AB036878	BAB32621	gb|AB036878:1-747	BAB32622	gb|AB036878:747-1076
AB036879	BAB32623	gb|AB036879:1-747	BAB32624	gb|AB036879:747-1076
AB043478	BAA96109	gb|AB043478:1->1032
AB043479	BAA96110	gb|AB043479:1->1032
AB043480	BAA96111	gb|AB043480:1->1032
AB043481	BAA96112	gb|AB043481:1->1032
AB043482	BAA96113	gb|AB043482:1->1032
AB043483	BAA96114	gb|AB043483:1->1032
AB043484	BAA96115	gb|AB043484:1->1032
AB043485	BAA96116	gb|AB043485:1->1032
AB043486	BAA96117	gb|AB043486:1->1029
AB043487	BAA96118	gb|AB043487:1->1032
AB043488	BAA96119	gb|AB043488:1->1032
AB043489	BAA96120	gb|AB043489:1->1032
AB043490	BAA96121	gb|AB043490:1->1032
AB043491	BAA96122	gb|AB043491:1->1032
AB043492	BAA96123	gb|AB043492:1->1032
AB043493	BAA96124	gb|AB043493:1->1032
AB043494	BAA96125	gb|AB043494:1->1029
AB043495	BAA96126	gb|AB043495:1->1029
AB043496	BAA96127	gb|AB043496:1->1029
AB043497	BAA96128	gb|AB043497:1->1029
AB043498	BAA96129	gb|AB043498:1->1029
AB043499	BAA96130	gb|AB043499:1->1032
AB043500	BAA96131	gb|AB043500:1->1029
AB043705	BAA96300	gb|AB043705:1->1035
AB043706	BAA96301	gb|AB043706:1->1035
AB043707	BAA96302	gb|AB043707:1->1035
AB043708	BAA96303	gb|AB043708:1->1035
AB045008	BAA96842	gb|AB045008:<1->1062
AB045009	BAA96843	gb|AB045009:<1->1070
AB045010	BAA96844	gb|AB045010:<1->1065
AB049153	BAB39505	gb|AB049153:1-2280
AB049154	BAB39506	gb|AB049154:1-2280
AB049155	BAB39507	gb|AB049155:1-2277
AB049156	BAB39508	gb|AB049156:1-2277
AB049157	BAB39509	gb|AB049157:1-2151
AB049158	BAB39510	gb|AB049158:1-2151
AB049159	BAB39511	gb|AB049159:1-1683
AB049160	BAB39512	gb|AB049160:1-1683
AB049161	BAB39513	gb|AB049161:1-1497
AB049162	BAB39514	gb|AB049162:1-1497
AB049163	BAB39515	gb|AB049163:1-1410
AB049164	BAB39516	gb|AB049164:1-1410
AB049165	BAB39517	(gb|AB049165:1-26, 715-982)	BAB39518	gb|AB049165:1-759
AB049166	BAB39519	(gb|AB049166:1-26, 715-982)	BAB39520	gb|AB049166:1-759
AB049167	BAB39521	(gb|AB049167:1-30, 503-838)	BAB39522	gb|AB049167:1-693
AB049168	BAB39523	(gb|AB049168:1-30, 503-838)	BAB39524	gb|AB049168:1-693
AB054679	BAB21469	gb|AB054679:<1->1042
AB054680	BAB21470	gb|AB054680:<1->1049
AB054681	BAB21471	gb|AB054681:<1->1045
AB054682	BAB21472	gb|AB054682:<1->1043
AB054683	BAB21473	gb|AB054683:<1->1069
AB054684	BAB21474	gb|AB054684:<1->1058
AB054685	BAB21475	gb|AB054685:<1->1056
AB054686	BAB21476	gb|AB054686:<1->1068
AB056699	BAC43764	gb|AB056699:44-1732
AB059242	BAC53991	gb|AB059242:1->1083
AB059243	BAC53992	gb|AB059243:1-303	BAC53993	gb|AB059243:8->764
AB059244	BAC53994	gb|AB059244:<1->465
AB059245	BAC53995	gb|AB059245:<1->471
AB059246	BAC53996	gb|AB059246:<1->459
AB059247	BAC53997	gb|AB059247:1->925
AB059248	BAC53998	gb|AB059248:1-747	BAC53999	gb|AB059248:747-1076
AB059249	BAC54000	(gb|AB059249:1-33, 689-1024)	BAC54001	gb|AB059249:1-846
AB059250	BAC54002	gb|AB059250:1->1083
AB059251	BAC54003	gb|AB059251:1-303	BAC54004	gb|AB059251:8->764
AB059252	BAC54005	gb|AB059252:<1->465
AB059253	BAC54006	gb|AB059253:<1->471
AB059254	BAC54007	gb|AB059254:<1->459
AB059255	BAC54008	gb|AB059255:1->925
AB059256	BAC54009	gb|AB059256:1-747	BAC54010	gb|AB059256:747-1076
AB059257	BAC54011	(gb|AB059257:1-33, 689-1024)	BAC54012	gb|AB059257:1-846
AB064397	BAB84715	gb|AB064397:<1-1926
AB064398	BAB84716	gb|AB064398:<1-1926
AB064399	BAB84717	gb|AB064399:<1-1926
AB064400	BAB84718	gb|AB064400:<1-1926
AB064401	BAB84719	gb|AB064401:<1-1926
AB064402	BAB84720	gb|AB064402:<1-1926
AB064403	BAB84721	gb|AB064403:<1-1926
AB064404	BAB84722	gb|AB064404:<1-1923
AB064405	BAB84723	gb|AB064405:<1-1923
AB064406	BAB84724	gb|AB064406:<1-1923
AB064407	BAB84725	gb|AB064407:<1-1923
AB064408	BAB84726	gb|AB064408:<1-1923
AB064409	BAB84727	gb|AB064409:<1-1923
AB064410	BAB84728	gb|AB064410:<1-1923
AB064411	BAB84729	gb|AB064411:<1-1923
AB064412	BAB84730	gb|AB064412:<1-1923
AB064413	BAB84731	gb|AB064413:<1-1923
AB064414	BAB84732	gb|AB064414:<1-1923
AB064415	BAB84733	gb|AB064415:<1->469
AB064416	BAB84734	gb|AB064416:<1->469
AB064417	BAB84735	gb|AB064417:<1->469
AB064418	BAB84736	gb|AB064418:<1->469
AB064419	BAB84737	gb|AB064419:<1->469
AB064420	BAB84738	gb|AB064420:<1->469
AB064421	BAB84739	gb|AB064421:<1->469
AB064422	BAB84740	gb|AB064422:<1->469
AB064423	BAB84741	gb|AB064423:<1->376
AB064424	BAB84742	gb|AB064424:<1->376
AB064425	BAB84743	gb|AB064425:<1->376
AB064426	BAB84744	gb|AB064426:<1->376
AB064427	BAB84745	gb|AB064427:<1->376
AB064428	BAB84746	gb|AB064428:<1->376
AB064429	BAB84747	gb|AB064429:<1->376
AB064430	BAB84748	gb|AB064430:<1->376
AB064431	BAB84749	gb|AB064431:<1->376
AB064432	BAB84750	(gb|AB064432:1-728, 957)	BAB84751	gb|AB064432:706->1122
AB064433	BAB84752	(gb|AB064433:1-728, 957)	BAB84753	gb|AB064433:706->1122
AB064434	BAB84754	(gb|AB064434:1-728, 957)	BAB84755	gb|AB064434:706->1122
AB064435	BAB84756	(gb|AB064435:1-728, 957)	BAB84757	gb|AB064435:706->1122
AB064436	BAB84758	(gb|AB064436:1-728, 957)	BAB84759	gb|AB064436:706->1122
AB064437	BAB84760	(gb|AB064437:1-728, 957)	BAB84761	gb|AB064437:706->1122
AB064438	BAB84762	(gb|AB064438:1-728, 957)	BAB84763	gb|AB064438:706->1122
AB064439	BAB84764	(gb|AB064439:1-187, 501-862)	BAB84765	gb|AB064439:1-741
AB064440	BAB84766	(gb|AB064440:1-187, 501-862)	BAB84767	gb|AB064440:1-741
AB064441	BAB84768	(gb|AB064441:1-187, 501-862)	BAB84769	gb|AB064441:1-741
AB064442	BAB84770	(gb|AB064442:1-187, 501-862)	BAB84771	gb|AB064442:1-741
AB064443	BAB84772	(gb|AB064443:1-187, 501-862)	BAB84773	gb|AB064443:1-741
AB064444	BAB84774	(gb|AB064444:1-187, 501-862)	BAB84775	gb|AB064444:1-741
AB064445	BAB84776	(gb|AB064445:1-187, 501-862)	BAB84777	gb|AB064445:1-741
AB064446	BAB84778	gb|AB064446:<1->372
AB064447	BAB84779	gb|AB064447:<1->372
AB064448	BAB84780	gb|AB064448:<1->372
AB064449	BAB84781	gb|AB064449:<1->372
AB064450	BAB84782	gb|AB064450:<1->372
AB064451	BAB84783	gb|AB064451:<1->372
AB064452	BAB84784	gb|AB064452:<1->372
AB064453	BAB84785	gb|AB064453:<1->372
AB064454	BAB84786	gb|AB064454:<1->372
AB064455	BAB84787	gb|AB064455:<1->372
AB064456	BAB84788	gb|AB064456:<1->372
AB064457	BAB84789	gb|AB064457:<1->372
AB064458	BAB84790	gb|AB064458:<1->372
AB064459	BAB84791	gb|AB064459:<1->372
AB064460	BAB84792	gb|AB064460:<1->372
AB064461	BAB84793	gb|AB064461:<1->372
AB064462	BAB84794	gb|AB064462:<1->372
AB064463	BAB84795	gb|AB064463:<1->372
AB064464	BAB84796	gb|AB064464:<1->372
AB064465	BAB84797	gb|AB064465:<1->372
AB064466	BAB84798	gb|AB064466:<1->372
AB064467	BAB84799	gb|AB064467:<1->600
AB064468	BAB84800	gb|AB064468:<1->600
AB064469	BAB84801	gb|AB064469:<1->600
AB064470	BAB84802	gb|AB064470:<1->600
AB064471	BAB84803	gb|AB064471:<1->600
AB064472	BAB84804	gb|AB064472:<1->600
AB064473	BAB84805	gb|AB064473:<1->600
AB064474	BAB84806	gb|AB064474:<1->600
AB064475	BAB84807	gb|AB064475:<1->600
AB064476	BAB84808	gb|AB064476:<1->600
AB064477	BAB84809	gb|AB064477:<1->600
AB064478	BAB84810	gb|AB064478:<1->600
AB064479	BAB84811	gb|AB064479:<1->600
AB064480	BAB84812	gb|AB064480:<1->600
AB064481	BAB84813	gb|AB064481:<1->600
AB064482	BAB84814	gb|AB064482:<1->600
AB064483	BAB84815	gb|AB064483:<1->600
AB064484	BAB84816	gb|AB064484:<1->600
AB064485	BAB84817	gb|AB064485:<1->600
AB064486	BAB84818	gb|AB064486:<1->600
AB064487	BAB84819	gb|AB064487:<1->600
AB064488	BAB84820	gb|AB064488:<1->469
AB071515	BAB68318	gb|AB071515:<1->729
AB071516	BAB68319	gb|AB071516:<1->721
AB071517	BAB68320	gb|AB071517:<1->1080
AB071518	BAB68321	gb|AB071518:<1->1078
AB071519	BAB68322	gb|AB071519:<1->789
AB071520	BAB68323	gb|AB071520:<1->1071
AB071521	BAB68324	gb|AB071521:<1->1078
AB071522	BAB68325	gb|AB071522:<1->1078
AB071523	BAB68326	gb|AB071523:<1->1078
AB071524	BAB68327	gb|AB071524:<1->1079
AB071525	BAB68328	gb|AB071525:<1->1074
AB071526	BAB68329	gb|AB071526:<1->1059
AB071527	BAB68330	gb|AB071527:<1->1077
AB071528	BAB68331	gb|AB071528:<1->1079
AB071529	BAB68332	gb|AB071529:<1->1080
AB071530	BAB68333	gb|AB071530:<1->656
AB071531	BAB68334	gb|AB071531:<1->1077
AB071532	BAB68335	gb|AB071532:<1->1067
AB071533	BAB68336	gb|AB071533:<1->1077
AB080224	BAB85614	gb|AB080224:<1->960
AB080225	BAB85615	gb|AB080225:<1->960
AB080226	BAB85616	gb|AB080226:<1->960
AB080227	BAB85617	gb|AB080227:<1->960
AB080228	BAB85618	gb|AB080228:<1->960
AB081570	BAB86331	gb|AB081570:<1->987
AB081571	BAB86332	gb|AB081571:<1->981
AB083182	BAB88908	gb|AB083182:<1->979
AB083183	BAB88909	gb|AB083183:<1->979
AB083404	BAB89294	gb|AB083404:<1->978
AB083405	BAB89295	gb|AB083405:<1->986
AB086656	BAC54287	gb|AB086656:<1-1926
AB086657	BAC54288	gb|AB086657:<1-1926
AB086658	BAC54289	gb|AB086658:<1-1926
AB086659	BAC54290	gb|AB086659:<1-1926
AB086660	BAC54291	gb|AB086660:<1-1926
AB086661	BAC54292	gb|AB086661:<1-1926
AB086662	BAC54293	gb|AB086662:<1-1926
AB086663	BAC54294	gb|AB086663:<1-1926
AB086664	BAC54295	gb|AB086664:<1-1926
AB086665	BAC54296	gb|AB086665:<1-1926
AB086666	BAC54297	gb|AB086666:<1-1926
AB086667	BAC54298	gb|AB086667:<1-1926
AB086668	BAC54299	gb|AB086668:<1-1926
AB086669	BAC54300	gb|AB086669:<1-1926
AB086670	BAC54301	gb|AB086670:<1->469
AB086671	BAC54302	gb|AB086671:<1->469
AB086672	BAC54303	gb|AB086672:<1->469
AB086673	BAC54304	gb|AB086673:<1->469
AB086674	BAC54305	gb|AB086674:<1->469
AB086675	BAC54306	gb|AB086675:<1->469
AB086676	BAC54307	gb|AB086676:<1->469
AB086677	BAC54308	gb|AB086677:<1->469
AB086678	BAC54309	gb|AB086678:<1->469
AB086679	BAC54310	gb|AB086679:<1->469
AB086680	BAC54311	gb|AB086680:<1->469
AB086681	BAC54312	gb|AB086681:<1->469
AB086682	BAC54313	gb|AB086682:<1->469
AB086683	BAC54314	gb|AB086683:<1->469
AB086684	BAC54315	gb|AB086684:<1->469
AB086685	BAC54316	gb|AB086685:<1->469
AB086686	BAC54317	gb|AB086686:<1->469
AB086687	BAC54318	gb|AB086687:<1->469
AB086688	BAC54319	gb|AB086688:<1->469
AB086689	BAC54320	gb|AB086689:<1->469
AB086690	BAC54321	gb|AB086690:<1->469
